,image_path,mask_path,mask
0,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_10.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_10_mask.tif,0
1,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_2.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_2_mask.tif,0
2,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_20.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_20_mask.tif,0
3,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_11.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_11_mask.tif,1
4,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_12.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_12_mask.tif,1
5,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_23.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_23_mask.tif,0
6,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_5.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_5_mask.tif,0
7,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_14.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_14_mask.tif,1
8,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_17.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_17_mask.tif,1
9,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_1.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_1_mask.tif,0
10,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_19.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_19_mask.tif,0
11,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_3.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_3_mask.tif,0
12,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_9.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_9_mask.tif,0
13,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_21.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_21_mask.tif,0
14,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_8.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_8_mask.tif,0
15,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_4.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_4_mask.tif,0
16,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_22.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_22_mask.tif,0
17,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_18.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_18_mask.tif,1
18,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_13.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_13_mask.tif,1
19,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_16.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_16_mask.tif,1
20,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_15.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_15_mask.tif,1
21,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_7.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_7_mask.tif,0
22,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_6.tif,./data/TCGA_CS_4941_19960909/TCGA_CS_4941_19960909_6_mask.tif,0
23,./data/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_1.tif,./data/TCGA_CS_4943_20000902/TCGA_CS_4943_20000902_1_mask.tif,0
